cluster_id,n_detections,centroid_lat,centroid_lon,lat_min,lat_max,lon_min,lon_max,avg_confidence,max_frp,avg_frp,first_date,last_date,province,regency,extent_lat_km,extent_lon_km
225,27,-1.8712817139393516,110.16464705273903,-1.8774020901922306,-1.863912281308334,110.15535952947496,110.17265514229814,1.0,1.6699999570846558,1.4755555567918,2026-08-13,2026-08-13,West Kalimantan,Ketapang,1.4991224612674308,1.9210364344275253
163,25,-1.241897193671857,109.44800785140772,-1.250125977091034,-1.233263715986163,109.44090858487841,109.4549608653959,1.0,4.260000228881836,3.405200090408325,2026-08-13,2026-08-13,West Kalimantan,Kayong Utara,1.873903076584313,1.561263110406489
296,24,-3.0319049005057237,115.15956923581501,-3.040898106428321,-3.0240358453234504,115.15150592666352,115.16803274290655,1.0,6.119999885559082,2.756666655341784,2026-08-13,2026-08-13,South Kalimantan,Tapin,1.8739030765842883,1.8340542490323224
32,24,2.618919833421589,117.46421169106772,2.6147042681453714,2.624821624808294,117.45284459230767,117.47404952639867,1.0,11.630000114440918,7.420000076293945,2026-08-13,2026-08-14,North Kalimantan,Bulungan,1.124341845950573,2.354043041271039
11,24,3.2588426423514387,116.52116828412812,3.241980381246568,3.2790773556772836,116.51203942478125,116.53322697095646,1.0,30.170000076293945,19.812500029802322,2026-08-13,2026-08-13,North Kalimantan,Malinau,4.1225867684854345,2.3507644494546094
130,24,0.05754237159170258,111.61347101643081,0.0482681279840236,0.06513038908889447,111.60755203726329,111.62107435922998,1.0,5.599999904632568,3.7104166448116302,2026-08-13,2026-08-13,West Kalimantan,Sintang,1.8739030765842999,1.5027348823090227
42,23,2.1183672782324328,117.1823466219375,2.112208887220219,2.122326243883142,117.17773396172414,117.18836864617386,1.0,13.869999885559082,9.28565209844838,2026-08-13,2026-08-14,East Kalimantan,Berau,1.1243418459506225,1.181024813349705
156,23,-1.1180138270433064,110.45155394342908,-1.1253452449149894,-1.1118554360310928,110.44457637939836,110.45844900102524,1.0,2.509999990463257,1.5969565381174502,2026-08-13,2026-08-13,West Kalimantan,Kayong Utara,1.4991224612674308,1.5413709501417392
27,23,3.675853690892767,116.67646132857543,3.66353690886834,3.690516526636133,116.6655935753613,116.6889609196923,1.0,8.6899995803833,4.761739025945249,2026-08-13,2026-08-13,North Kalimantan,Malinau,2.9982449225348615,2.5914706188355474
315,22,2.6200695330423756,117.42756994564652,2.6012144592614743,2.6349389814712163,117.42120164457052,117.43449007770829,1.0,8.300000190734863,6.704545638777993,2026-08-14,2026-08-14,North Kalimantan,Bulungan,3.747806153168626,1.475199814608084
234,22,-2.4878159421885564,112.89443068608854,-2.497933298851479,-2.47432613330466,112.88723665245567,112.90189563805869,1.0,1.2899999618530273,0.9309090755202554,2026-08-13,2026-08-13,Central Kalimantan,Kotawaringin Timur,2.6234643072180037,1.627517646394555
316,21,2.58146152482434,117.48736972230552,2.574234841493681,2.5877246503775777,117.48009081387308,117.49390626592478,1.0,11.4399995803833,7.674285752432687,2026-08-14,2026-08-14,North Kalimantan,Bulungan,1.4991224612674308,1.5337531450853823
